x (sign(x), time)
2 (5303, 19)
3 (4801, 19)
4 (6844, 19)
5 (10499, 19)
6 (8261, 19)
7 (9496, 19)
8 (1861, 19)
9 (9579, 19)
10 (5278, 19)
11 (7535, 19)
12 (7927, 19)
13 (2640, 19)
14 (2454, 19)
15 (7021, 19)
16 (3983, 19)
17 (7913, 19)
18 (4163, 19)
19 (9558, 19)
20 (5801, 19)
21 (3497, 19)
22 (5260, 19)
23 (7165, 19)
24 (1446, 118)
25 (5185, 19)
26 (2723, 19)
27 (7384, 19)
28 (2855, 19)
29 (9198, 19)
30 (8807, 19)
31 (2436, 19)
32 (2, 19)
33 (4235, 19)
34 (3931, 19)
35 (8209, 19)
36 (935, 19)
37 (10127, 19)
38 (2410, 19)
39 (3724, 19)
40 (6137, 19)
41 (2508, 19)
42 (9540, 19)
43 (4652, 19)
44 (8996, 19)
45 (2746, 19)
46 (5169, 19)
47 (7325, 19)
48 (6399, 19)
49 (8830, 19)
50 (5867, 19)
51 (10448, 19)
52 (4432, 19)
53 (10792, 19)
54 (4660, 19)
55 (4428, 19)
56 (2924, 118)
57 (5212, 118)
58 (544, 19)
59 (4380, 19)
60 (9661, 19)
61 (3139, 19)
62 (6050, 19)
63 (7806, 19)
64 (10606, 19)
65 (7952, 19)
66 (10077, 19)
67 (6131, 19)
68 (9232, 19)
69 (3547, 19)
70 (6196, 19)
71 (5037, 19)
72 (3933, 19)
73 (3016, 19)
74 (5542, 19)
75 (754, 19)
76 (10665, 19)
77 (9913, 19)
78 (7611, 19)
79 (10872, 19)
80 (1302, 19)
81 (2710, 19)
82 (4231, 19)
83 (2493, 19)
84 (5605, 19)
85 (5168, 19)
86 (7306, 19)
87 (8690, 19)
88 (3516, 19)
89 (5899, 19)
90 (5830, 19)
91 (1633, 19)
92 (8707, 118)
93 (10810, 19)
94 (9652, 19)
95 (1487, 19)
96 (9602, 19)
97 (2910, 19)
98 (98, 19)
99 (10541, 19)
100 (5383, 19)
101 (6650, 19)
102 (8850, 19)
103 (598, 19)
104 (2512, 118)
105 (6614, 19)
106 (2595, 19)
107 (8576, 19)
108 (5886, 19)
109 (7733, 19)
110 (3222, 19)
111 (7692, 19)
112 (7118, 19)
113 (6893, 19)
114 (6555, 19)
115 (10953, 19)
116 (2089, 19)
117 (1533, 19)
118 (781, 118)
119 (4193, 19)
120 (569, 19)
121 (9206, 19)
122 (7319, 19)
123 (5730, 19)
124 (303, 19)
125 (4989, 19)
126 (6482, 19)
127 (2793, 19)
128 (2727, 19)
129 (6695, 19)
130 (2489, 19)
131 (8005, 118)
132 (3456, 19)
133 (5688, 118)
134 (2367, 118)
135 (8424, 118)
136 (5470, 19)
137 (10599, 118)
138 (665, 19)
139 (6339, 19)
140 (7271, 19)
141 (4437, 19)
142 (10215, 19)
143 (9146, 19)
144 (8877, 19)
145 (3392, 217)
146 (1749, 19)
147 (6643, 19)
148 (2785, 19)
149 (8506, 19)
150 (8658, 19)
151 (489, 19)
152 (8696, 19)
153 (3312, 19)
154 (10644, 19)
155 (3551, 19)
156 (2731, 19)
157 (7527, 19)
158 (10317, 19)
159 (10706, 19)
160 (10037, 19)
161 (3913, 19)
162 (1259, 19)
163 (1347, 19)
164 (10787, 19)
165 (5449, 19)
166 (1413, 19)
167 (4547, 217)
168 (8044, 19)
169 (9365, 19)
170 (3404, 217)
171 (9810, 19)
172 (7544, 19)
173 (8531, 19)
174 (3026, 19)
175 (10909, 19)
176 (687, 19)
177 (5182, 19)
178 (10664, 19)
179 (5783, 19)
180 (6470, 19)
181 (2113, 19)
182 (609, 19)
183 (9925, 19)
184 (5489, 19)
185 (1673, 19)
186 (10361, 19)
187 (7576, 118)
188 (7647, 19)
189 (947, 19)
190 (4602, 19)
191 (4899, 19)
192 (5561, 19)
193 (7856, 19)
194 (9603, 19)
195 (389, 19)
196 (4527, 19)
197 (2667, 19)
198 (8784, 19)
199 (1769, 19)
200 (3605, 19)
201 (4646, 19)
202 (3413, 19)
203 (6960, 19)
204 (7509, 19)
205 (3170, 19)
206 (3465, 118)
207 (6714, 19)
208 (3521, 19)
209 (5760, 19)
210 (9803, 19)
211 (6652, 19)
212 (5230, 19)
213 (2671, 19)
214 (1339, 19)
215 (10093, 19)
216 (7491, 19)
